nu,E_xc_meV
-1.2,-2.3200047495246956
-1.195,-2.333141879624396
-1.19,-2.359416139823793
-1.185,-2.3860845139261806
-1.18,-2.409862719406636
-1.175,-2.4290429293521965
-1.17,-2.450325080113708
-1.165,-2.47160723087522
-1.16,-2.5049755413284553
-1.155,-2.5287537468089085
-1.15,-2.5525319522893635
-1.145,-2.589447287869515
-1.14,-2.6174293749818753
-1.135,-2.6501408289301227
-1.13,-2.6862679367042945
-1.125,-2.7108343699907302
-1.1199999999999999,-2.755106498426717
-1.115,-2.789525779287927
-1.1099999999999999,-2.823945060149137
-1.105,-2.8584957123113437
-1.0999999999999999,-2.9059207519712564
-1.095,-2.9534771629321654
-1.0899999999999999,-2.987896443793375
-1.085,-3.035452854754282
-1.08,-3.083534750919179
-1.075,-3.1437028067757997
-1.0699999999999998,-3.191259217736709
-1.065,-3.244990079844477
-1.06,-3.2995091697582244
-1.055,-3.3470655807191347
-1.05,-3.406445408769771
-1.045,-3.464642895111438
-1.04,-3.516009073801257
-1.035,-3.5635654847621665
-1.03,-3.626098224036731
-1.025,-3.684952566883381
-1.02,-3.742493196720062
-1.015,-3.772577224648372
-1.01,-3.791363320690941
-1.005,-3.788867265971997
-1.0,-3.7782261905912407
-0.9949999999999999,-3.756944039829727
-0.99,-3.6881054781073064
-0.985,-3.635556957708514
-0.98,-3.5848476355236762
-0.975,-3.514169875587299
-0.97,-3.4440176008549073
-0.965,-3.357706656099887
-0.96,-3.273760394762812
-0.955,-3.1887631630177626
-0.95,-3.104291416476702
-0.945,-3.0090472232538823
-0.94,-2.939026319822492
-0.9349999999999999,-2.8508761768535145
-0.9299999999999999,-2.7795415604121514
-0.9249999999999999,-2.708206943970788
-0.9199999999999999,-2.636872327529426
-0.9149999999999999,-2.5786748411877585
-0.9099999999999999,-2.507340224746397
-0.905,-2.427991958944218
-0.8999999999999999,-2.3778081219633687
-0.895,-2.3066048768230036
-0.8899999999999999,-2.2590484658620946
-0.885,-2.190078532838676
-0.8799999999999999,-2.1376613837408804
-0.875,-2.076967842680272
-0.8699999999999999,-2.0286232039133796
-0.865,-1.9687178906587537
-0.8599999999999999,-1.921161479697845
-0.855,-1.8736050687369372
-0.8499999999999999,-1.8260486577760273
-0.845,-1.7653551167154187
-0.84,-1.7177987057545108
-0.835,-1.6571051646939057
-0.83,-1.6226858838326932
-0.825,-1.5751294728717842
-0.82,-1.5275730619108758
-0.815,-1.4800166509499681
-0.8099999999999999,-1.4427072014668225
-0.8049999999999999,-1.3980409591278466
-0.7999999999999999,-1.363621678266638
-0.7949999999999999,-1.3160652673057303
-0.7899999999999999,-1.2816459864445173
-0.7849999999999999,-1.2340895754836092
-0.78,-1.1949409277865095
-0.7749999999999999,-1.1580255922063565
-0.77,-1.1176946028002805
-0.7649999999999999,-1.084194921046048
-0.76,-1.0488560410778602
-0.7549999999999999,-1.0144367602166475
-0.75,-0.9734489143055901
-0.7449999999999999,-0.9455981984942278
-0.74,-0.9127553732449836
-0.7349999999999999,-0.8767596367718072
-0.73,-0.8389247020846775
-0.7249999999999999,-0.8151464966042229
-0.72,-0.7866389242878753
-0.715,-0.7544529555436137
-0.71,-0.717800362565455
-0.705,-0.6965182118039444
-0.7,-0.6699812090025523
-0.695,-0.6462030035220981
-0.69,-0.6224247980416432
-0.6849999999999999,-0.5986465925611888
-0.6799999999999999,-0.5638331977969878
-0.6749999999999999,-0.5379530515005826
-0.6699999999999999,-0.5141748460201279
-0.6649999999999999,-0.4772595104399755
-0.6599999999999999,-0.44034417485982075
-0.6549999999999999,-0.41656596937936674
-0.6499999999999999,-0.3704546427294249
-0.6449999999999999,-0.32959816811936177
-0.6399999999999999,-0.29688671417111223
-0.6349999999999999,-0.2671968001457921
-0.6299999999999999,-0.2319892914786029
-0.6249999999999999,-0.20492680347322434
-0.62,-0.1786525432738273
-0.615,-0.15237828307443024
-0.61,-0.1237393394570844
-0.605,-0.0999611339766292
-0.6,-0.0761829284961755
-0.595,-0.05240472301572116
-0.59,-0.028626517535267054
-0.585,-0.0048483120548131154
-0.58,0.03154153832135265
-0.575,0.053874659490841297
-0.57,0.07515681025235263
-0.565,0.09643896101386465
-0.5599999999999999,0.11772111177537525
-0.5549999999999999,0.13782092082791425
-0.5499999999999999,0.16159912630836817
-0.5449999999999999,0.17604996941803464
-0.5399999999999999,0.19601840716957936
-0.5349999999999999,0.21099473548323794
-0.5299999999999999,0.24173561991652903
-0.5249999999999999,0.25421589351124524
-0.5199999999999999,0.2779940989916987
-0.5149999999999999,0.2886351743724545
-0.5099999999999999,0.3124133798529087
-0.5049999999999999,0.3336955306144205
-0.4999999999999999,0.3468326607141178
-0.495,0.37061086619457245
-0.49,0.3943890716750266
-0.485,0.4125183112126116
-0.48,0.42880835253623656
-0.475,0.43944942791699415
-0.47,0.47452556528318723
-0.46499999999999997,0.4870058388779017
-0.45999999999999996,0.5107840443583559
-0.45499999999999996,0.5214251197391134
-0.44999999999999996,0.5452033252195672
-0.44499999999999995,0.5570267423092972
-0.43999999999999995,0.5796226060807785
-0.43499999999999994,0.6034008115612325
-0.42999999999999994,0.622712392807788
-0.42499999999999993,0.6246829623227439
-0.41999999999999993,0.6484611678031977
-0.4149999999999999,0.648986653007185
-0.4099999999999999,0.6642257239228365
-0.4049999999999999,0.6752609132065821
-0.3999999999999999,0.6778883392265228
-0.3949999999999999,0.7015351734059792
-0.3899999999999999,0.7123076200877341
-0.3849999999999999,0.7278094336053762
-0.3799999999999999,0.7393701080931124
-0.3749999999999999,0.7540836938047732
-0.3699999999999999,0.7548719216107561
-0.365,0.7786501270912096
-0.36,0.7803579540041703
-0.355,0.7932323415018746
-0.35,0.8066322142035673
-0.345,0.8066322142035673
-0.33999999999999997,0.8066322142035673
-0.33499999999999996,0.8162223191763486
-0.32999999999999996,0.8268633945571044
-0.32499999999999996,0.8375044699378595
-0.31999999999999995,0.8481455453186172
-0.31499999999999995,0.859180734602365
-0.30999999999999994,0.8825648261798287
-0.30499999999999994,0.885454994801762
-0.29999999999999993,0.8985921249014588
-0.29499999999999993,0.9117292550011591
-0.2899999999999999,0.9117292550011591
-0.2849999999999999,0.9117292550011591
-0.2799999999999999,0.9117292550011591
-0.2749999999999999,0.9117292550011591
-0.2699999999999999,0.9117292550011591
-0.2649999999999999,0.9117292550011591
-0.2599999999999999,0.9117292550011591
-0.2549999999999999,0.9117292550011591
-0.2499999999999999,0.9117292550011591
-0.24499999999999988,0.9117292550011591
-0.24,0.9117292550011591
-0.235,0.9117292550011591
-0.22999999999999998,0.9117292550011591
-0.22499999999999998,0.9117292550011591
-0.21999999999999997,0.9117292550011591
-0.21499999999999997,0.9094959428842098
-0.20999999999999996,0.8985921249014588
-0.20499999999999996,0.885454994801762
-0.19999999999999996,0.885454994801762
-0.19499999999999984,0.880068771460884
-0.18999999999999995,0.859180734602365
-0.18499999999999983,0.859180734602365
-0.17999999999999994,0.8481455453186166
-0.17500000000000004,0.8243673398381616
-0.16999999999999993,0.8066322142035673
-0.16500000000000004,0.7899480589769515
-0.15999999999999992,0.7793069835961945
-0.15500000000000003,0.7555287781157403
-0.1499999999999999,0.7448877027349854
-0.14500000000000002,0.7211094972545308
-0.1399999999999999,0.706264540241872
-0.135,0.6849823894803604
-0.1299999999999999,0.6621237831068854
-0.125,0.6358495229074883
-0.11999999999999988,0.6022184698522588
-0.11499999999999999,0.5784402643718047
-0.10999999999999988,0.5546620588913508
-0.10499999999999998,0.517878094612193
-0.09999999999999987,0.4939685178307417
-0.09499999999999997,0.4570531822505881
-0.08999999999999986,0.4277573821282609
-0.08499999999999996,0.3832225110902832
-0.07999999999999985,0.34578169030614025
-0.07499999999999996,0.2982252793452315
-0.06999999999999984,0.2593393742501256
-0.06499999999999995,0.21624958752311538
-0.05999999999999983,0.16869317656220212
-0.05499999999999994,0.12113676560129358
-0.04999999999999982,0.07358035464038468
-0.04499999999999993,0.026023943679477447
-0.040000000000000036,-0.02153246728143066
-0.03499999999999992,-0.06908887824234079
-0.030000000000000027,-0.1166452892032481
-0.02499999999999991,-0.15172142656944512
-0.020000000000000018,-0.1786525432738273
-0.014999999999999902,-0.1786525432738273
-0.010000000000000009,-0.1605233037362423
-0.004999999999999893,-0.1236079681560873
0.0,-0.08669263257593585
0.0050000000000001155,-0.030991200953211395
0.010000000000000009,0.03784736076920819
0.015000000000000124,0.11417408664845563
0.020000000000000018,0.19864583318951867
0.025000000000000133,0.25750017603616965
0.030000000000000027,0.3526129979579871
0.03500000000000014,0.4696648271463025
0.040000000000000036,0.5822500321007194
